,recipient_name_clean,current_award,potential_award,offers_received,num_employees,annual_revenue,award_count,recipient_name,organizational_type,business_size,year
4816,agilent technologies,43021017.24000001,52442826.029999994,1322.0,11967.621377620544,3238849957.782493,1.0,AGILENT TECHNOLOGIES  INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2012
4817,agilex technologies,14622820.03,14622820.03,476.0,134.77124183006535,15400196.078431372,1.0,"AGILEX TECHNOLOGIES, INC.",,OTHER THAN SMALL BUSINESS,2012
4818,agri beef,48601860.08000001,48601860.08000001,183.0,773.6590909090909,352840917.29545456,1.0,AGRI BEEF CO.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2012
4819,ahlakeshore jv,15696147.51,49000662.51000001,28.0,2.0,100000.0,1.0,A&H/LAKESHORE JV  LLC,OTHER,SMALL BUSINESS,2012
4820,ahntech,10157952.3,10157952.3,15.0,457.0,30374904.0,1.0,AHNTECH  INC,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2012
4821,ahtna incorporated,200530482.51,221734232.33000004,141.0,195.94733044733044,2893413.9265151513,1.0,AHTNA  INCORPORATED,OTHER,SMALL BUSINESS,2012
4822,ai signal research,1138905303.45,1138905303.45,13421.0,235.3550483281087,22786914.992579892,1.0,"AI SIGNAL RESEARCH, INC.",,SMALL BUSINESS,2012
4823,ai solutions,1078709250.0,1078709250.0,2188.0,189.19642857142858,19694460.613354042,1.0,AI SOLUTIONS  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012
4824,ains,528740.8099999999,555976.6699999999,441.0,87.75238095238095,5776249.380952381,1.0,"AINS, INC.",,SMALL BUSINESS,2012
4825,air industries,19952.26,19952.26,9.0,180.0,49111000.0,1.0,AIR INDUSTRIES GROUP  INC.,,SMALL BUSINESS,2012
4826,air products and chemicals,11592277.799999999,11957947.799999999,166.0,19133.368777056276,8811984630.251732,1.0,AIR PRODUCTS AND CHEMICALS  INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2012
4827,airborne tactical advantage,5551437.2,5551437.2,8.0,30.0,11877000.0,1.0,AIRBORNE TACTICAL ADVANTAGE COMPANY  LLC,OTHER,OTHER THAN SMALL BUSINESS,2012
4828,airgas,5276333.01,9209359.23,805.0,10558.957227517105,2822306255.857231,1.0,AIRGAS  INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2012
4829,airtronics,11921450.82,12671347.38,80.0,39.414529220779215,3586810.0649350644,1.0,"AIRTRONICS, INC.",,OTHER THAN SMALL BUSINESS,2012
4830,ais,270694.91,270694.91,1001.0,110.0,7680492.0,1.0,A.I.S.  INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2012
4831,ais engineering,1071971.73,0.0,1954.0,24.0,13610883.189814813,1.0,AIS ENGINEERING  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012
4832,aistn joint,28103319.31,28103319.31,18.0,265.0,50000000.0,1.0,AIS/TN & A JOINT LLC,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012
4833,akal security,65047173.42000002,75346902.94999999,407.0,1945.0488049625978,77542976.34764186,1.0,"AKAL SECURITY, INC.",,OTHER THAN SMALL BUSINESS,2012
4834,akamai technologies,8253030.24,8253030.24,27.0,1813.2083333333335,491155904.7619047,1.0,"AKAMAI TECHNOLOGIES, INC.",,OTHER THAN SMALL BUSINESS,2012
4835,akhi construction,26840636.0,26840636.0,4.0,0.0,0.0,1.0,AKHI CONSTRUCTION  LLC,OTHER,SMALL BUSINESS,2012
4836,akima global services,1091778.89,2573243.29,2.0,10.0,113022.0,1.0,AKIMA GLOBAL SERVICES  LLC,,SMALL BUSINESS,2012
4837,alaire technologies,33673331.0,33673331.0,2.0,8.0,1100000.0,1.0,ALAIRE TECHNOLOGIES  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012
4838,alaka i consulting engineering,45440640.0,45440640.0,5994.0,5.0,500000.0,1.0,ALAKA I CONSULTING & ENGINEERING  INC.,,SMALL BUSINESS,2012
4839,alamo city constructors,4336053.81,4336053.81,87.0,18.375,5187500.0,1.0,ALAMO CITY CONSTRUCTORS  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012
4840,alan daryls vacuum truck service,13414081.559999997,13414081.559999997,504.0,6.0,285000.0,1.0,ALAN & DARYL'S VACUUM TRUCK SERVICE  LLC,OTHER,SMALL BUSINESS,2012
4841,alares,200.0,45000200.0,119.0,11.2,1900000.0,1.0,ALARES LLC,,SMALL BUSINESS,2012
4842,alarm security,12610911.86,12610911.86,3.0,700.0,5.0,1.0,ALARM SECURITY GROUP LLC,PARTNERSHIP,SMALL BUSINESS,2012
4843,alatec,1153748335.2800002,1203483354.64,1449.0,137.0858343045843,15131113.6846747,1.0,ALATEC  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012
4844,alcatel lucent,4968386.94,155413006.44,134.0,36526.98412698413,9507333170.909523,1.0,ALCATEL LUCENT,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2012
4845,alchem laboratories,13517230.28,30171790.28,36.0,17.0,1513110.0,1.0,ALCHEM LABORATORIES CORP,OTHER,SMALL BUSINESS,2012
4846,alcon laboratories,8032329.06,8032329.06,28.0,18574.57070707071,4936711271.60101,1.0,ALCON LABORATORIES INC,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2012
4847,alder foods,96279294.80000001,96279294.80000001,63.0,19.965598739495796,31650354.845238093,1.0,ALDER FOODS  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012
4848,alere,35810265.8,35810265.8,414.0,5467.347848347623,254505436.98503458,1.0,ALERE INC.,,OTHER THAN SMALL BUSINESS,2012
4849,aleut,11080.9,11080.9,9.0,2.0,11015210.0,1.0,ALEUT CORPORATION  THE,OTHER,SMALL BUSINESS,2012
4850,aleut communications services,122628739.52000001,122628739.52000001,14.0,45.0,3846982.0,1.0,ALEUT COMMUNICATIONS SERVICES  LLC,SOLE PROPRIETORSHIP,SMALL BUSINESS,2012
4851,alex alternative experts,34791355.910000004,35096171.57,1006.0,66.0,4663001.666666667,1.0,"ALEX - ALTERNATIVE EXPERTS, LLC",,SMALL BUSINESS,2012
4852,alfab,410349.6,410349.6,20.0,90.0,8000000.0,1.0,ALFAB  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012
4853,alion science and technology,867641895.9300001,943424945.28,33661.0,2304.501908064593,393617455.9071212,1.0,ALION SCIENCE AND TECHNOLOGY CORPORATION,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2012
4854,aliron,374246.71,374246.71,255.0,65.0,6500000.0,1.0,"ALIRON INTERNATIONAL, INC.",,SMALL BUSINESS,2012
4855,all native services,250729997.55,250729997.55,36.0,9.0,706684.0,1.0,ALL NATIVE SERVICES,CORPORATE TAX EXEMPT,SMALL BUSINESS,2012
4856,all phase services,2159128.08,2159128.08,93.0,6.0,3155046.0,1.0,ALL PHASE SERVICES  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012
4857,all points logistics,12521420.920000002,12521420.920000002,25.0,121.6,34600002.8,1.0,ALL POINTS LOGISTICS  INC.,,SMALL BUSINESS,2012
4858,allegheny energy,20325495.25,24429875.25,10.0,3538.1714285714284,1427857937.6,1.0,ALLEGHENY ENERGY  INC.,,OTHER THAN SMALL BUSINESS,2012
4859,allegheny science technology,4393786.22,4393786.22,1.0,1.0,20000.0,1.0,ALLEGHENY SCIENCE & TECHNOLOGY CORPORATION,OTHER,SMALL BUSINESS,2012
4860,allen america,45212322.95,45212322.95,1070.0,137.33333333333334,10174571.608333334,1.0,ALLEN CORPORATION OF AMERICA  INC.,,SMALL BUSINESS,2012
4861,allen engineering contractor,59602116.32,59602116.32,62.0,152.15,28616112.5,1.0,ALLEN ENGINEERING CONTRACTOR  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012
4862,allen shariff,12062951.76,12062951.76,105.0,92.0,19500000.0,1.0,ALLEN + SHARIFF CORPORATION,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012
4863,allen wright enterprises inchamps construction joint venture,43707706.87,43707706.87,86.0,30.0,5000000.0,1.0,ALLEN WRIGHT ENTERPRISES INC/HAMP'S CONSTRUCTION LLC : A JOINT VENTURE,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012
4864,alliance technical services,10410745.46,11443186.91,4.0,65.0,8400000.0,1.0,ALLIANCE TECHNICAL SERVICES  INC.,,SMALL BUSINESS,2012
4865,alliance technology,12498992.790000001,12498993.190000001,31.0,60.25,21666666.666666664,1.0,ALLIANCE TECHNOLOGY GROUP  LLC,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012
4866,alliant across america information services,3745003.27,3745003.27,8.0,1.0,1.0,1.0,ALLIANT ACROSS AMERICA INFORMATION SERVICES  LLC,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012
4867,alliant alliance,19540623.42,19540623.42,153.0,1.0,10000.0,1.0,ALLIANT ALLIANCE  LLC,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012
4868,alliant enterprise jv,16967006.39,19034727.09,12.0,1.0,0.0,1.0,ALLIANT ENTERPRISE JV LLC,,SMALL BUSINESS,2012
4869,alliant enterprises,103771.49,103771.49,11.0,29.0,3473561.5,1.0,ALLIANT ENTERPRISES  LLC,OTHER,SMALL BUSINESS,2012
4870,alliant information technologies,178930.42,178930.42,2.0,1.0,0.0,1.0,ALLIANT INFORMATION TECHNOLOGIES  LLC,OTHER,SMALL BUSINESS,2012
4871,alliant solutions,3063585.52,3063585.52,3.0,1.0,1.0,1.0,ALLIANT SOLUTIONS  LLC,US GOVERNMENT ENTITY,OTHER THAN SMALL BUSINESS,2012
4872,alliant techsystems,136570348798.35999,137647835108.2,402.0,11932.072845040093,2865748755.8053217,1.0,ALLIANT TECHSYSTEMS INC.,,OTHER THAN SMALL BUSINESS,2012
4873,allied container systems incorporated,13278160.0,13278160.0,22.0,47.5,12500000.0,1.0,ALLIED CONTAINER SYSTEMS  INCORPORATED,,SMALL BUSINESS,2012
4874,allied defense industries,292462.33999999997,442462.33999999997,39.0,19.333333333333336,10237819.0,1.0,ALLIED DEFENSE INDUSTRIES INC.,,SMALL BUSINESS,2012
4875,allied pacific builders,181132.0,181132.0,8.0,25.0,8000000.0,1.0,ALLIED PACIFIC BUILDERS  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012
4876,allied technologies consulting,34778.77,34778.77,1.0,48.0,4900000.0,1.0,ALLIED TECHNOLOGIES & CONSULTING  LLC,PARTNERSHIP,SMALL BUSINESS,2012
4877,allison transmission,663189628.22,5918575002.860002,71.0,3000.0,2000000000.0,1.0,ALLISON TRANSMISSION  INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2012
4878,allnative solutions,3890720.45,3890720.45,9.0,2.0,1422869.0,1.0,ALLNATIVE SOLUTIONS CORPORATION,CORPORATE TAX EXEMPT,SMALL BUSINESS,2012
4879,alltech engineering,9175800.51,9493800.51,9.0,75.0,21597000.0,1.0,ALLTECH ENGINEERING CORP.,OTHER,SMALL BUSINESS,2012
4880,alltranspack,20828589.6,20828589.6,6.0,12.0,1200000.0,1.0,ALLTRANSPACK  INC.,,SMALL BUSINESS,2012
4881,allworld language consultants,27853240.69,29134889.41,137.0,345.46296296296293,41132886.33461048,1.0,ALLWORLD LANGUAGE CONSULTANTS INC.,,OTHER THAN SMALL BUSINESS,2012
4882,aloha health joint venture 8a,24293267.56,131491235.3,121.0,2.0,1.0,1.0,ALOHA HEALTH JOINT VENTURE 8A  LLC,PARTNERSHIP,SMALL BUSINESS,2012
4883,alon,11945258.82,11945258.82,5683.0,29.911111111111108,2553472.222222222,1.0,ALON INC,,SMALL BUSINESS,2012
4884,alpha facilities solutions,2180106.43,2180106.43,3.0,25.0,2013400.0,1.0,ALPHA FACILITIES SOLUTIONS  LLC,OTHER,SMALL BUSINESS,2012
4885,alpha genesis,88956.0,88956.0,20.0,67.0,6500000.0,1.0,"ALPHA GENESIS, INC.",,SMALL BUSINESS,2012
4886,alpha research technology,14174146.600000001,14174146.600000001,10.0,69.0,8286293.0,1.0,ALPHA RESEARCH & TECHNOLOGY  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012
4887,alpha technology associate,5541273.87,5541273.87,5.0,15.0,3.0,1.0,ALPHA TECHNOLOGY ASSOCIATE INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012
4888,alphaomega change engineering,143934463.98,143934463.98,1870.0,58.45833333333333,6753083.541666668,1.0,ALPHA-OMEGA CHANGE ENGINEERING  INC.,,SMALL BUSINESS,2012
4889,alstom power,150612869.76,150612869.76,6.0,84000.0,12000000000.0,1.0,ALSTOM POWER INC.,,OTHER THAN SMALL BUSINESS,2012
4890,altarum institute,70344190.09,107595650.63000001,683.0,187.16541895604396,32010690.676648356,1.0,ALTARUM INSTITUTE,,SMALL BUSINESS,2012
4891,altegrity,251253077.60000002,2029027125.68,190.0,2371.54906447705,1378918832.1760664,1.0,"ALTEGRITY, INC.",,OTHER THAN SMALL BUSINESS,2012
4892,altus,43430296.019999996,45680296.019999996,5025.0,20.0,2000000.0,1.0,ALTUS  LLC,OTHER,SMALL BUSINESS,2012
4893,alvarez associates,34411987.39,78785587.39,198.0,11.125541125541126,1406907.4675324673,1.0,"ALVAREZ & ASSOCIATES, LLC",,SMALL BUSINESS,2012
4894,am pierce associates,8630133.06,9387564.78,18.0,5.0,1.0,1.0,AM PIERCE & ASSOCIATES  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012
4895,amdex,2293510.0,2294510.0,1781.0,185.25,23.4,1.0,AMDEX CORPORATION,,SMALL BUSINESS,2012
4896,amec,315282117.71000004,326652762.53000003,2508.0,6165.1534317534315,1171162682.564697,1.0,AMEC PLC,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2012
4897,amec ei,84013913.69,85899851.69,251.0,2833.767857142857,467951554.3095238,1.0,AMEC E&I HOLDINGS  INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2012
4898,amee bay,64013827.93000001,64013827.93000001,1021.0,108.76666666666668,8570815.633333333,1.0,AMEE BAY  LLC,OTHER,SMALL BUSINESS,2012
4899,ameresco,40205899.5,40205899.5,215.0,159.01136363636363,115371716.20779222,1.0,AMERESCO  INC.,,OTHER THAN SMALL BUSINESS,2012
4900,american,38979812.699999996,38979812.699999996,29.0,116.53333333333332,192922333.3333333,1.0,AMERICAN INTERNATIONAL GROUP  INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2012
4901,american apparel,8326648.0,8326648.0,1.0,1281.0,78291000.0,1.0,AMERICAN APPAREL  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012
4902,american biomedical,6900431.54,6900431.54,74.0,13.5,3200000.0,1.0,"AMERICAN BIOMEDICAL GROUP, INC.",,SMALL BUSINESS,2012
4903,american bureau shipping,1618814.78,4382825.78,20.0,1740.9375,306541388.625,1.0,AMERICAN BUREAU OF SHIPPING INC,,OTHER THAN SMALL BUSINESS,2012
4904,american business,33869817.0,36323415.0,54.0,47.0,2804961.0,1.0,AMERICAN BUSINESS CORPORATION LLC,OTHER,SMALL BUSINESS,2012
4905,american cabling,7977257.58,7977257.58,2.0,13.0,1200000.0,1.0,AMERICAN CABLING COMPANY,OTHER,SMALL BUSINESS,2012
4906,american contractor and technology,14522301.5,14522301.5,7.0,13.0,3263576.0,1.0,AMERICAN CONTRACTOR AND TECHNOLOGY INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012
4907,american council on teaching foreign languages,11414893.46,33790388.46,5017.0,18.744841269841267,7615479.448412698,1.0,AMERICAN COUNCIL ON THE TEACHING OF FOREIGN LANGUAGES  INC.,CORPORATE TAX EXEMPT,OTHER THAN SMALL BUSINESS,2012
4908,american eagle protective services,20209712.01,20959712.01,6027.0,29.555555555555557,424105.1111111112,1.0,AMERICAN EAGLE PROTECTIVE SERVICES CORPORATION,,SMALL BUSINESS,2012
4909,american electronic warfare associates incorporated,10000.0,10000.0,25.0,156.0,39781000.0,1.0,"AMERICAN ELECTRONIC WARFARE ASSOCIATES, INCORPORATED",,OTHER THAN SMALL BUSINESS,2012
4910,american hospital,12166444.29,12166444.29,230.0,117.14285714285714,33027812.71428572,1.0,AMERICAN HOSPITAL ASSOCIATION INC,,OTHER THAN SMALL BUSINESS,2012
4911,american institutes research in behavioral sciences,57315140.61,61473034.61,1570.0,798.3060307017545,17341969.76865722,1.0,AMERICAN INSTITUTES FOR RESEARCH IN THE BEHAVIORAL SCIENCES,,OTHER THAN SMALL BUSINESS,2012
4912,american k9 detection services,1276441945.8000002,1276441945.8000002,28.0,5.0,2500000.0,1.0,AMERICAN K-9 DETECTION SERVICES  INC.,,SMALL BUSINESS,2012
4913,american maritime,43963887.739999995,43963887.739999995,80.0,339.02063492063496,58723511.84761904,1.0,AMERICAN MARITIME HOLDINGS  INC.,,SMALL BUSINESS,2012
4914,american material handling,12315605.18,24284605.18,9397.0,3.459008448570469,14918414.829699997,1.0,AMERICAN MATERIAL HANDLING  INC.,OTHER,SMALL BUSINESS,2012
4915,american national red cross,935.0,935.0,10.0,18767.545454545456,421291636.3636364,1.0,AMERICAN NATIONAL RED CROSS,,OTHER THAN SMALL BUSINESS,2012
4916,american ordnance,47956351.85,47956351.85,22.0,1312.5,239000000.0,1.0,AMERICAN ORDNANCE LLC,PARTNERSHIP,OTHER THAN SMALL BUSINESS,2012
4917,american pharmacists,16745719.18,16745719.18,4.0,100.0,32840821.0,1.0,AMERICAN PHARMACISTS ASSOCIATION,CORPORATE TAX EXEMPT,OTHER THAN SMALL BUSINESS,2012
4918,american purchasing services,8673156.59,13545230.370000001,33.0,96.25,1.0,1.0,AMERICAN PURCHASING SERVICES  INC.,,SMALL BUSINESS,2012
4919,american railroads,4950389.21,4955449.21,9.0,451.73333333333335,136168776.13333333,1.0,ASSOCIATION OF AMERICAN RAILROADS,,SMALL BUSINESS,2012
4920,american security programs,704348994.3700001,752487554.21,5581.0,423.406862745098,9085015.820261437,1.0,"AMERICAN SECURITY PROGRAMS, INC",,SMALL BUSINESS,2012
4921,american society engineering education,1576454332.47,1576454332.47,15.0,34.666666666666664,30010000.0,1.0,AMERICAN SOCIETY FOR ENGINEERING EDUCATION (INC),CORPORATE TAX EXEMPT,OTHER THAN SMALL BUSINESS,2012
4922,american systems,5203699.929999999,5105203699.929999,1361.0,897.2589285714286,162286155.0,1.0,AMERICAN SYSTEMS CORPORATION,OTHER,OTHER THAN SMALL BUSINESS,2012
4923,american water works,14973296595.6,14973296595.6,94.0,17399.869047619046,1800795493.0119047,1.0,AMERICAN WATER WORKS COMPANY  INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2012
4924,american west construction,1054056.0,1054056.0,15.0,50.0,13500000.0,1.0,AMERICAN WEST CONSTRUCTION  LLC,OTHER,SMALL BUSINESS,2012
4925,americas staffing partner,135976.8,135976.8,1.0,2.0,50000.0,1.0,AMERICA'S STAFFING PARTNER  INC.,,SMALL BUSINESS,2012
4926,amerigas partners lp,1894616.9699999995,1894616.9699999995,34.0,5055.555555555556,1298611111.1111112,1.0,AMERIGAS PARTNERS  L.P.,PARTNERSHIP,OTHER THAN SMALL BUSINESS,2012
4927,ameriguard security services,1111717.46,1111717.46,21.0,91.75,1115000.0,1.0,"AMERIGUARD SECURITY SERVICES, INC.",,SMALL BUSINESS,2012
4928,ameriqual,275658.0,10729168.0,6.0,1100.0,244000000.0,1.0,AMERIQUAL GROUP  LLC,OTHER,OTHER THAN SMALL BUSINESS,2012
4929,amerisourcebergen,363502980.28999984,363905362.38999975,77938.0,12.521832284890396,9343470.305407079,1.0,AMERISOURCEBERGEN CORPORATION,,OTHER THAN SMALL BUSINESS,2012
4930,ametek,3909093.4299999997,4045922.71,14075.0,9464.254558404558,1522200014.207265,1.0,AMETEK  INC.,,OTHER THAN SMALL BUSINESS,2012
4931,amg healthcare services,12814194.759999994,14293200.519999996,36.0,10.0,220000.0,1.0,AMG HEALTHCARE SERVICES  INC,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012
4932,amherst systems,52945.74,52945.74,2.0,122600.0,30702999552.0,1.0,AMHERST SYSTEMS  INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2012
4933,amiacepex jv,185226.9,185226.9,18.0,0.0,0.0,1.0,AMI-ACEPEX JV,PARTNERSHIP,SMALL BUSINESS,2012
4934,amn healthcare services,703060.29,2337277.79,3638.0,1893.2654304242565,1093341324.1010969,1.0,"AMN HEALTHCARE SERVICES, INC.",,OTHER THAN SMALL BUSINESS,2012
4935,anacapa micro products,3990.42,3990.42,3.0,30.0,22000000.0,1.0,ANACAPA MICRO PRODUCTS INC.,,SMALL BUSINESS,2012
4936,analysis,478570.3,478570.3,3.0,506.0,180000000.0,1.0,ANALYSIS GROUP  INC.,,SMALL BUSINESS,2012
4937,analytic services,168101064.56,169648302.44,845.0,574.1623272156196,6478717.765677482,1.0,ANALYTIC SERVICES INC.,,OTHER THAN SMALL BUSINESS,2012
4938,analytical graphics,48802.0,48802.0,1.0,0.0,0.0,1.0,ANALYTICAL GRAPHICS  INC.,,OTHER THAN SMALL BUSINESS,2012
4939,analytical research,59552449.06,59552449.06,17.0,22.5,2718750.0,1.0,ANALYTICAL RESEARCH  LLC,,SMALL BUSINESS,2012
4940,anchor innovation,4515.0,4515.0,1000.0,2.0,290602.0,1.0,"ANCHOR INNOVATION, INC.",,SMALL BUSINESS,2012
4941,anderson burton construction,977412.94,977412.94,10.0,29.0,9173295.416666666,1.0,ANDERSON BURTON CONSTRUCTION  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012
4942,andritz ag,17602087.23,20488598.23,25.0,3000.0,40000000.0,1.0,ANDRITZ AG,,OTHER THAN SMALL BUSINESS,2012
4943,andromeda systems incorporated,1164100.9499999997,1164100.9499999997,27.0,51.5,3009404.5,1.0,ANDROMEDA SYSTEMS INCORPORATED,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012
4944,angel staffing incorporated,2412196.56,2519697.12,46.0,490.0,22666000.0,1.0,ANGEL STAFFING INCORPORATED,,SMALL BUSINESS,2012
4945,anna lisa luna construction,44210.0,44210.0,1.0,2.0,100000.0,1.0,ANNA LISA LUNA CONSTRUCTION  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012
4946,annams systems,72219576.19999999,564467298.61,6151.0,0.7125,140625.0,1.0,ANNAMS SYSTEMS CORPORATION,,SMALL BUSINESS,2012
4947,anyar,4556193.55,4556193.55,11.0,8.333333333333332,599889.0,1.0,ANYAR INC,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012
4948,aoc applied technologies,9374465.96,9374465.96,1.0,45.0,10000000.0,1.0,AOC APPLIED TECHNOLOGIES CORPORATION,,SMALL BUSINESS,2012
4949,aon consulting,332823.85,332823.85,1022.0,9166.666666666668,1200000000.0,1.0,"AON CONSULTING, INC.",,OTHER THAN SMALL BUSINESS,2012
4950,apex skills,18800.0,18800.0,2.0,6.0,0.0,1.0,APEX SKILLS GROUP,,OTHER THAN SMALL BUSINESS,2012
4951,aphena pharma solutions,1238128.57,1927940.13,6.0,569.0,49219569.0,1.0,"APHENA PHARMA SOLUTIONS HOLDINGS, INC.",CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2012
4952,api,13339.689999999999,13339.689999999999,4002.0,8341.666666666666,1450943326.9166665,1.0,"API GROUP, INC.",,OTHER THAN SMALL BUSINESS,2012
4953,apogee engineering,14908312.58,40801253.36,49.0,20.83333333333333,2278000.0,1.0,APOGEE ENGINEERING  LLC,OTHER,SMALL BUSINESS,2012
4954,apogee solutions,46067074.6,48629134.6,40.0,40.0,2500000.0,1.0,APOGEE SOLUTIONS  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012
4955,appian,10676.5,42706.0,9.0,42.75,5303743.0,1.0,APPIAN CORPORATION,,OTHER THAN SMALL BUSINESS,2012
4956,appleton marine,34620.740000000005,34620.740000000005,7.0,41.0,23000000.0,1.0,"APPLETON MARINE, INC.",,SMALL BUSINESS,2012
4957,applied business management solutions,35184704.650000006,35476509.510000005,141.0,73.16666666666666,2687190.833333333,1.0,APPLIED BUSINESS MANAGEMENT SOLUTIONS LLC,PARTNERSHIP,SMALL BUSINESS,2012
4958,applied information sciences,487076409.6,487078909.6,1173.0,194.91666666666663,21583333.333333332,1.0,APPLIED INFORMATION SCIENCES  INC.,,SMALL BUSINESS,2012
4959,applied integrated technologies,167585.0,167585.0,1.0,52.0,5500000.0,1.0,APPLIED INTEGRATED TECHNOLOGIES,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012
4960,applied memetics,2310688.3,2310688.3,8.0,3.0,200000.0,1.0,APPLIED MEMETICS LLC,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012
4961,applied optimization,3913845.0,3913845.0,8.0,11.0,762000.0,1.0,APPLIED OPTIMIZATION INC,OTHER,SMALL BUSINESS,2012
4962,applied physical sciences,29820672.73,30312115.73,4079.0,69145.13690476191,22284331231.895237,1.0,APPLIED PHYSICAL SCIENCES CORP.,OTHER,SMALL BUSINESS,2012
4963,applied research associates,145427635.58,153768795.01000002,5337.0,1047.3972818510488,198562871.18594694,1.0,"APPLIED RESEARCH ASSOCIATES, INC.",,OTHER THAN SMALL BUSINESS,2012
4964,applied research solutions,2248996.8,3389526.8,85.0,580.0,110000000.0,1.0,"APPLIED RESEARCH SOLUTIONS, INC",,SMALL BUSINESS,2012
4965,applied technology,685286.8200000001,685286.8200000001,38.0,5.0,2300000.0,1.0,APPLIED TECHNOLOGY  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012
4966,applied visions,5526331.0,5526331.0,214.0,41.0,4500000.0,1.0,APPLIED VISIONS  INC.,OTHER,OTHER THAN SMALL BUSINESS,2012
4967,applied visual technology,12593703.72,12593703.72,15.0,53.0,8350000.0,1.0,APPLIED VISUAL TECHNOLOGY INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012
4968,apprio,26029152.5,26029902.5,2038.0,25.442482517482517,2332342.0683566434,1.0,APPRIO  INC,OTHER,SMALL BUSINESS,2012
4969,apptis,2007872.5,2007872.5,2613.0,1084.6524676850765,447155990.44888365,1.0,APPTIS HOLDINGS  INC.,,OTHER THAN SMALL BUSINESS,2012
4970,apt research,445608399.0500001,445608399.0500001,150.0,95.0,14.0,1.0,A-P-T RESEARCH  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012
4971,aptima,21038984.72,21240320.72,3249.0,103.73511904761904,16600745.13095238,1.0,"APTIMA, INC.",,OTHER THAN SMALL BUSINESS,2012
4972,aquachem,83337.12,333337.11,14.0,160.0,50000000.0,1.0,AQUA-CHEM  INC.,,SMALL BUSINESS,2012
4973,aquaterracayo jv,250003685.83,250003685.83,151.0,20.0,15000000.0,1.0,AQUATERRA-CAYO JV,PARTNERSHIP,SMALL BUSINESS,2012
4974,aquilent,9313498.08,14697457.02,30.0,141.11111111111111,572843.4444444444,1.0,"AQUILENT, INC",,OTHER THAN SMALL BUSINESS,2012
4975,aramark,412577.77,472042.77,47.0,101919.70138888889,3189704506.515278,1.0,ARAMARK HOLDINGS CORPORATION,,OTHER THAN SMALL BUSINESS,2012
