,recipient_parent_name1,current_award,potential_award,offers_received,num_employees,annual_revenue,award_count,recipient_name,organizational_type,business_size,year,recipient_name_clean,Unnamed: 0,% to Dems,% to Repubs,0,1,Cycle,Democrats,Individuals,PACs,Republicans,Soft (Indivs),Soft (Orgs),Total,Unnamed: 0.1,org_id,org_name,org_name_clean
320,MICHAELBAKERCORPORATION,38897548.8,38897548.8,51,1151.458333,222983333.3,2,MICHAEL BAKER CORPORATION,,OTHER THAN SMALL BUSINESS,2010,michael baker,34217,54%,44%,,,2010,"$38,700 ","$3,910 ","$68,250 ","$31,460 ",$0 ,$0 ,"$72,160 ",61777,D000027561,MICHAEL BAKER CORP,michael baker
321,MICROSOFTCORPORATION,5299967.52,5408078.52,10,74771.875,48756876579,2,MICROSOFT CORPORATION,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2010,microsoft,898,60%,40%,,,2010,"$1,759,434 ","$1,211,949 ","$1,735,000 ","$1,174,015 ","$3,750 ",$0 ,"$2,959,259 ",1013,D000000115,MICROSOFT CORP,microsoft
322,MWHGLOBALINC,105581874.9,105581874.9,11229,2936.88365,468122723.4,2,"MWH GLOBAL, INC.",,OTHER THAN SMALL BUSINESS,2010,mwh global,34907,51%,49%,,,2010,"$225,750 ","$73,098 ","$367,707 ","$216,055 ",$0 ,$0 ,"$442,205 ",62666,D000027760,MWH GLOBAL,mwh global
323,NATIONALGRIDPLC,200347.08,200347.08,2,15625,50999998976,1,NATIONAL GRID PLC,,OTHER THAN SMALL BUSINESS,2010,national grid,35613,80%,19%,,,2010,"$182,750 ","$74,695 ","$152,850 ","$42,795 ",$0 ,$0 ,"$227,545 ",63464,D000027852,NATIONAL GRID PLC,national grid
324,NAVISTARINTERNATIONALCORPORATION,3778200616,1.04062E+11,507,12465.58036,2446897454,2,NAVISTAR INTERNATIONAL CORPORATION,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2010,navistar,36265,39%,60%,,,2010,"$65,412 ","$42,145 ","$126,967 ","$102,200 ",$0 ,$0 ,"$169,612 ",64182,D000027918,NAVISTAR INTERNATIONAL,navistar
325,NEPTUNEORIENTLINESLIMITED,1353094,1353094,42,2250,2369999872,2,NEPTUNE ORIENT LINES LIMITED,,OTHER THAN SMALL BUSINESS,2010,neptune orient lines,2471,57%,39%,,,2010,"$36,000 ",$0 ,"$63,500 ","$25,000 ",$0 ,$0 ,"$63,500 ",3170,D000043116,NEPTUNE ORIENT LINES,neptune orient lines
326,NESTLESA,445359792.9,445359792.9,131,100484.6106,35973733929,2,NESTLE S.A.,,OTHER THAN SMALL BUSINESS,2010,nestle sa,117417,43%,56%,,,2010,"$39,200 ","$38,500 ","$52,500 ","$50,800 ",$0 ,$0 ,"$91,200 ",159748,D000042332,NESTLE SA,nestle sa
327,NEWMOUNTAINCAPITALLLC,236698200.3,281744140.5,3071,262.4552238,34769035.27,2,NEW MOUNTAIN CAPITAL  L.L.C.,,OTHER THAN SMALL BUSINESS,2010,new mountain capital,98358,6%,94%,,,2010,"$6,100 ","$72,950 ","$31,000 ","$97,850 ",$0 ,$0 ,"$104,450 ",134549,D000036192,NEW MOUNTAIN CAPITAL,new mountain capital
328,NORTHROPGRUMMANCORPORATION,2.33651E+11,3.79779E+11,6319,4086576.265,12860399851,2,NORTHROP GRUMMAN CORPORATION,,OTHER THAN SMALL BUSINESS,2010,northrop grumman,1675,55%,44%,,,2010,"$1,189,865 ","$450,065 ","$1,719,650 ","$949,576 ","$2,750 ",$0 ,"$2,176,525 ",1845,D000000170,NORTHROP GRUMMAN,northrop grumman
329,NOVARTISAG,34633368.51,599657771.6,361,59740.0811,748612256.7,2,NOVARTIS AG,,OTHER THAN SMALL BUSINESS,2010,novartis ag,15870,46%,54%,,,2010,"$310,019 ","$60,326 ","$617,705 ","$365,512 ",$0 ,$0 ,"$679,181 ",38032,D000022163,NOVARTIS AG,novartis ag
330,OCEANSPRAYCRANBERRIESINC,47681974.64,47681974.64,10,1611.111111,1369444444,2,OCEAN SPRAY CRANBERRIES  INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2010,ocean spray cranberries,4202,72%,28%,,,2010,"$39,500 ","$3,000 ","$52,000 ","$15,500 ",$0 ,$0 ,"$55,000 ",4591,D000000389,OCEAN SPRAY CRANBERRIES,ocean spray cranberries
331,OLINCORPORATION,6418558.4,6418558.4,12,5800,1618003831,2,OLIN CORPORATION,,OTHER THAN SMALL BUSINESS,2010,olin,37106,16%,84%,,,2010,"$3,500 ","$1,000 ","$21,000 ","$18,500 ",$0 ,$0 ,"$22,000 ",65236,D000028131,OLIN CORP,olin
332,OMNICOMGROUPINC,307699538.8,372924059.1,4092,21063.41836,5207537450,2,OMNICOM GROUP INC.,,OTHER THAN SMALL BUSINESS,2010,omnicom,15945,58%,39%,,,2010,"$287,587 ","$456,297 ","$36,750 ","$191,460 ","$1,000 ",$0 ,"$495,797 ",38114,D000022170,OMNICOM GROUP,omnicom
333,ORACLECORPORATION,8326332.08,23740122.6,1118,64186.22384,550781919.5,2,ORACLE CORPORATION,,OTHER THAN SMALL BUSINESS,2010,oracle,4548,60%,39%,,,2010,"$437,193 ","$390,035 ","$320,300 ","$280,594 ","$1,530 ","$10,000 ","$725,815 ",4970,D000000422,ORACLE CORP,oracle
334,OSHKOSHCORPORATION,1.86688E+11,1.95047E+11,21197,8939.721054,3894492439,2,OSHKOSH CORPORATION,,OTHER THAN SMALL BUSINESS,2010,oshkosh,37314,58%,42%,,,2010,"$103,979 ","$8,242 ","$170,000 ","$74,263 ",$0 ,$0 ,"$178,242 ",65492,D000028179,OSHKOSH CORP,oshkosh
335,OSISYSTEMSINC,2209284.97,2226000.47,20,2006.349206,353286444.4,1,OSI SYSTEMS  INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2010,osi systems,37329,45%,55%,,,2010,"$29,900 ",$0 ,"$66,200 ","$36,300 ",$0 ,$0 ,"$66,200 ",65508,D000028180,OSI SYSTEMS,osi systems
336,PARAMETRICTECHNOLOGYCORPORATION,1314469.06,1764169.06,3,4600,500000000,2,PARAMETRIC TECHNOLOGY CORPORATION,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2010,parametric technology,37602,44%,56%,,,2010,"$2,650 ","$4,550 ","$1,500 ","$3,400 ",$0 ,$0 ,"$6,050 ",65826,D000028225,PARAMETRIC TECHNOLOGY CORP,parametric technology
337,PARKERHANNIFINCORPORATION,43520966.45,72005394.45,256,53756.54726,9758607867,2,PARKER-HANNIFIN CORPORATION,,OTHER THAN SMALL BUSINESS,2010,parkerhannifin,37614,18%,82%,,,2010,"$11,585 ","$44,905 ","$19,000 ","$52,320 ",$0 ,$0 ,"$63,905 ",65840,D000028227,PARKER-HANNIFIN,parkerhannifin
338,PARTECHNOLOGYCORPORATION,69066597.64,69066597.64,149,1421.388889,180600000,2,PAR TECHNOLOGY CORPORATION,,OTHER THAN SMALL BUSINESS,2010,par technology,37587,100%,0%,,,2010,"$5,800 ",$0 ,"$5,800 ",$0 ,$0 ,$0 ,"$5,800 ",65809,D000028223,PAR TECHNOLOGY,par technology
339,PEPCOHOLDINGSINC,9937659.92,60120144.47,55,4209.666667,4385835692,2,PEPCO HOLDINGS  INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2010,pepco,37863,84%,16%,,,2010,"$55,325 ","$15,975 ","$50,125 ","$10,775 ",$0 ,$0 ,"$66,100 ",66181,D000028319,PEPCO HOLDINGS,pepco
340,PEPSICOINC,454997665.8,454997665.8,613,23921.54575,1050527749,2,PEPSICO  INC.,,OTHER THAN SMALL BUSINESS,2010,pepsico,2048,55%,44%,,,2010,"$394,009 ","$354,434 ","$366,020 ","$319,145 ","$1,050 ",$0 ,"$721,954 ",2248,D000000200,PEPSICO INC,pepsico
341,PFIZERINC,242398130.6,448552880.6,218,1244.102604,408421081.7,2,PFIZER INC.,,OTHER THAN SMALL BUSINESS,2010,pfizer,1250,51%,48%,,,2010,"$1,062,693 ","$281,516 ","$1,774,142 ","$1,002,215 ","$10,000 ","$17,500 ","$2,086,408 ",1388,D000000138,PFIZER INC,pfizer
342,PGECORPORATION,15906.59,15906.59,2,20000,10000000000,1,PG&E CORPORATION,,OTHER THAN SMALL BUSINESS,2010,pge,3067,65%,24%,,,2010,"$299,360 ","$119,722 ","$297,200 ","$110,062 ",$0 ,$0 ,"$460,222 ",3357,D000000290,PG&E CORP,pge
343,PHOENIXINTERNATIONALHOLDINGSINC,1121830.15,1121830.15,13,182.5,35981510,2,PHOENIX INTERNATIONAL HOLDINGS INC,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2010,phoenix,37976,63%,34%,,,2010,"$18,000 ","$11,610 ","$17,000 ","$9,610 ",$0 ,$0 ,"$28,610 ",66329,D000028354,PHOENIX COMPANIES,phoenix
345,PICTSWEETLLC,22507478.55,22507478.55,8,600,100000000,2,PICTSWEET LLC,,OTHER THAN SMALL BUSINESS,2010,pictsweet,34340,7%,93%,,,2010,"$4,650 ","$45,650 ","$24,300 ","$65,300 ",$0 ,$0 ,"$69,950 ",43198,D000055439,PICTSWEET CO,pictsweet
346,PITNEYBOWESINC,5012092.14,5815777.14,195,8365.389575,1338028104,2,PITNEY BOWES INC.,,OTHER THAN SMALL BUSINESS,2010,pitney bowes,16198,54%,45%,,,2010,"$64,380 ","$11,890 ","$107,500 ","$54,010 ",$0 ,$0 ,"$119,390 ",38389,D000022192,PITNEY BOWES INC,pitney bowes
347,POLARISINDUSTRIESINC,2796888.91,6096888.91,2072,3854.166667,1165868231,2,POLARIS INDUSTRIES INC.,,OTHER THAN SMALL BUSINESS,2010,polaris industries,38258,1%,99%,,,2010,$500 ,"$17,200 ","$18,000 ","$34,700 ",$0 ,$0 ,"$35,200 ",66660,D000028403,POLARIS INDUSTRIES,polaris industries
348,PPGINDUSTRIESINC,1399950,9966676,38,37058.33333,9588958309,2,PPG INDUSTRIES  INC.,,OTHER THAN SMALL BUSINESS,2010,ppg industries,38363,23%,75%,,,2010,"$23,400 ","$27,601 ","$73,000 ","$75,701 ",$0 ,$0 ,"$100,901 ",66788,D000028426,PPG INDUSTRIES,ppg industries
349,PRAGMATICSINC,195671697.8,195671705.8,339,406.855789,127375077,2,PRAGMATICS  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2010,pragmatics,38381,96%,4%,,,2010,"$80,400 ","$65,400 ","$18,400 ","$3,400 ",$0 ,$0 ,"$83,800 ",66808,D000028428,PRAGMATICS INC,pragmatics
350,PRICEWATERHOUSECOOPERSLLP,50796014.63,82728203.04,4370,107869.4423,1231185859,2,PRICEWATERHOUSECOOPERS LLP,,OTHER THAN SMALL BUSINESS,2010,pricewaterhousecoopers,1037,43%,56%,,,2010,"$1,162,015 ","$385,798 ","$2,273,650 ","$1,496,233 ",$0 ,$0 ,"$2,682,213 ",1161,D000000124,PRICEWATERHOUSECOOPERS,pricewaterhousecoopers
351,PROGRESSENERGYINC,1015375.25,1015375.25,38,9000,9600000000,2,"PROGRESS ENERGY, INC.",,OTHER THAN SMALL BUSINESS,2010,progress energy,4283,57%,41%,,,2010,"$293,570 ","$48,671 ","$467,000 ","$210,801 ",$0 ,$0 ,"$516,171 ",4681,D000000398,PROGRESS ENERGY,progress energy
352,PRUDENTIALFINANCIALINC,25083345.75,16482994.67,1028,1367.74867,91989487.64,2,PRUDENTIAL FINANCIAL INC.,,OTHER THAN SMALL BUSINESS,2010,prudential financial,1298,66%,32%,,,2010,"$640,287 ","$551,819 ","$413,480 ","$312,925 ",$500 ,$0 ,"$968,994 ",1439,D000000141,PRUDENTIAL FINANCIAL,prudential financial
353,QINETIQGROUPPLC,598526894.3,1100905510,27174,4155.251458,826555660.8,2,QINETIQ GROUP PLC,,SMALL BUSINESS,2010,qinetiq,96082,25%,75%,,,2010,"$22,900 ","$51,100 ","$39,000 ","$67,200 ",$0 ,$0 ,"$90,100 ",120481,D000070980,QINETIQ GROUP,qinetiq
354,RADIANCETECHNOLOGIESINC,35712409.44,83278852.43,11555,287.2028952,44617251.89,2,"RADIANCE TECHNOLOGIES, INC.",,SMALL BUSINESS,2010,radiance technologies,38839,25%,75%,,,2010,"$42,000 ","$55,700 ","$112,850 ","$126,550 ",$0 ,$0 ,"$168,550 ",67347,D000028509,RADIANCE TECHNOLOGIES,radiance technologies
355,RAYTHEONCOMPANY,1.70268E+11,2.53993E+11,17149,35045.29396,4865773871,2,RAYTHEON COMPANY,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2010,raytheon,1747,53%,46%,,,2010,"$1,444,906 ","$191,453 ","$2,541,500 ","$1,267,197 ",$950 ,$0 ,"$2,736,788 ",1922,D000000175,RAYTHEON CO,raytheon
356,ROCKWELLCOLLINSINC,3498259524,3859521337,9633,14028.51983,2998928189,2,ROCKWELL COLLINS  INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2010,rockwell collins,39561,53%,47%,,,2010,"$92,250 ","$25,100 ","$150,000 ","$82,650 ",$0 ,$0 ,"$175,100 ",68343,D000028783,ROCKWELL COLLINS INC,rockwell collins
357,ROLLSROYCEGROUPPLC,183555154.8,497040592.8,251,26473.31088,7385496101,2,ROLLS-ROYCE GROUP PLC,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2010,rollsroyce,3341,51%,48%,,,2010,"$194,050 ","$17,290 ","$363,800 ","$182,040 ",$0 ,$0 ,"$382,360 ",4170,D000043246,ROLLS-ROYCE PLC,rollsroyce
358,SALTCHUKRESOURCESINC,841484.29,841484.29,24,1769.173913,19258886.96,1,SALTCHUK RESOURCES  INC.,,SMALL BUSINESS,2010,saltchuk resources,16629,82%,15%,,,2010,"$182,250 ","$63,400 ","$160,100 ","$34,250 ",$0 ,$0 ,"$223,500 ",38864,D000022236,SALTCHUK RESOURCES,saltchuk resources
359,SCANACORPORATION,583860,583860,3,1968,1575000000,1,SCANA CORPORATION,,OTHER THAN SMALL BUSINESS,2010,scana,39965,25%,75%,,,2010,"$40,250 ","$53,825 ","$99,499 ","$118,574 ",$0 ,$0 ,"$158,824 ",68880,D000028916,SCANA CORP,scana
360,SECURITASAB,513994490,513994490,11,1315.055556,19793321.22,2,SECURITAS AB,,OTHER THAN SMALL BUSINESS,2010,securitas ab,18096,17%,81%,,,2010,"$3,250 ","$7,004 ","$11,500 ","$15,254 ",$0 ,$0 ,"$18,789 ",21789,D000046110,SECURITAS AB,securitas ab
361,SEMPRAENERGY,8853336,8853336,5,11200,9719999898,1,SEMPRA ENERGY,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2010,sempra energy,4472,59%,40%,,,2010,"$246,340 ","$40,940 ","$374,200 ","$164,300 ",$250 ,$0 ,"$415,690 ",4887,D000000415,SEMPRA ENERGY,sempra energy
362,SERCOGROUPPLC,1023454167,3651146968,17199,4493.90016,488632487.7,2,SERCO GROUP PLC,,OTHER THAN SMALL BUSINESS,2010,serco,2547,44%,56%,,,2010,"$48,900 ","$17,250 ","$92,900 ","$61,250 ",$0 ,$0 ,"$110,150 ",3260,D000043130,SERCO GROUP,serco
363,SIEMENSAG,462315205.2,627709919.9,1428,61113.41513,1937554801,2,SIEMENS AG,,OTHER THAN SMALL BUSINESS,2010,siemens ag,45,56%,43%,,,2010,"$191,625 ","$29,415 ","$312,500 ","$147,325 ",$500 ,$0 ,"$342,450 ",53,D000042425,SIEMENS AG,siemens ag
364,SIERRANEVADACORPORATION,81595462.73,81595462.73,163,1335.013082,463324484.7,2,SIERRA NEVADA CORPORATION,,OTHER THAN SMALL BUSINESS,2010,sierra nevada,40429,80%,20%,,,2010,"$120,200 ","$60,700 ","$90,000 ","$30,500 ",$0 ,$0 ,"$150,700 ",69477,D000029049,SIERRA NEVADA CORP,sierra nevada
365,SMITHFIELDFOODSINC,29395759.65,29395759.65,50,17196.64533,1623576040,2,SMITHFIELD FOODS  INC.,,OTHER THAN SMALL BUSINESS,2010,smithfield foods,16834,19%,80%,,,2010,"$45,400 ","$128,240 ","$103,900 ","$186,740 ",$0 ,$0 ,"$234,340 ",39087,D000022254,SMITHFIELD FOODS,smithfield foods
366,SMSHOLDINGSCORPORATION,13649874.56,13649874.56,4010,13000,270000000,2,SMS HOLDINGS CORPORATION,,OTHER THAN SMALL BUSINESS,2010,sms,40608,0%,99%,,,2010,$0 ,$950 ,"$7,000 ","$7,950 ",$0 ,$0 ,"$8,050 ",69696,D000029089,SMS HOLDINGS,sms
367,SODEXO,3658896.04,3658896.04,8,50000,2500000000,2,SODEXO,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2010,sodexo,40708,78%,21%,,,2010,"$49,450 ","$10,400 ","$52,500 ","$13,450 ",$0 ,$0 ,"$63,100 ",69813,D000029106,SODEXO,sodexo
368,SOLERSINC,145706357.2,145706357.2,1422,143.5,23175208.74,2,SOLERS INC.,,OTHER THAN SMALL BUSINESS,2010,solers,73511,29%,47%,,,2010,"$12,000 ","$5,250 ","$26,000 ","$19,250 ","$10,000 ",$0 ,"$41,250 ",90383,D000063453,SOLERS INC,solers
369,SRIINTERNATIONAL,234780106.5,234780106.5,5550,2098.021693,107599356.1,2,SRI INTERNATIONAL,,OTHER THAN SMALL BUSINESS,2010,sri,111996,60%,38%,,,2010,"$21,150 ","$21,998 ","$12,800 ","$13,398 ",$750 ,$0 ,"$35,548 ",149736,D000037741,SRI INTERNATIONAL,sri
370,STANLEYINC,612991614.7,604285959.2,5112,276.9887343,41252345.41,2,STANLEY  INC.,,SMALL BUSINESS,2010,stanley,2515,52%,44%,,,2010,"$14,800 ","$10,850 ","$17,400 ","$12,450 ",$0 ,$0 ,"$28,250 ",3223,D000043125,STANLEY INC,stanley
371,STARR,4537077,4537077,7,10,3000000,2,STARR,OTHER,OTHER THAN SMALL BUSINESS,2010,starr,87532,57%,44%,,,2010,"$33,850 ","$29,050 ","$26,100 ","$26,100 ",$0 ,$0 ,"$59,950 ",108952,D000068001,STARR COMPANIES,starr
372,STERICYCLEINC,3940.2,3940.2,9,1000,0.25,1,"STERICYCLE, INC.",,OTHER THAN SMALL BUSINESS,2010,stericycle,41187,39%,61%,,,2010,"$5,750 ","$1,050 ","$13,750 ","$9,050 ",$0 ,$0 ,"$14,800 ",70392,D000029206,STERICYCLE INC,stericycle
373,STERISCORPORATION,318276.51,318276.51,31,4822.222222,1193333333,2,STERIS CORPORATION,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2010,steris,41197,47%,53%,,,2010,"$34,050 ","$23,650 ","$48,900 ","$38,500 ",$0 ,$0 ,"$72,550 ",70403,D000029207,STERIS CORP,steris
374,STVGROUPINC,44199736.92,44592502.92,8,1200,200000000,2,STV GROUP INC,,OTHER THAN SMALL BUSINESS,2010,stv,41345,68%,33%,,,2010,"$45,300 ","$22,500 ","$44,600 ","$21,800 ",$0 ,$0 ,"$67,100 ",70610,D000029266,STV GROUP,stv
375,TECOENERGYINC,8165254,8165254,4,574.75,573261056,1,TECO ENERGY  INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2010,teco energy,6736,42%,38%,,,2010,"$78,870 ","$42,920 ","$132,500 ","$71,250 ","$1,000 ","$10,000 ","$186,420 ",7349,D000000613,TECO ENERGY,teco energy
376,TELECOMMUNICATIONSYSTEMSINC,1456448.44,1456448.44,4,520.25,93283750,2,TELECOMMUNICATION SYSTEMS  INC.,,SMALL BUSINESS,2010,telecommunication systems,42422,95%,6%,,,2010,"$86,700 ","$85,950 ","$5,800 ","$5,050 ",$0 ,$0 ,"$91,750 ",53322,D000057481,TELECOMMUNICATION SYSTEMS INC,telecommunication systems
377,TELEDYNETECHNOLOGIESINC,1805219931,1805219931,940,5926.192676,1232004748,2,TELEDYNE TECHNOLOGIES INC,,OTHER THAN SMALL BUSINESS,2010,teledyne technologies,41822,65%,35%,,,2010,"$65,950 ","$58,700 ","$43,000 ","$35,750 ",$0 ,$0 ,"$101,900 ",71188,D000029367,TELEDYNE TECHNOLOGIES,teledyne technologies
378,TELOSCORPORATION,536489201.4,545402105.4,199,54.47863998,11711159.25,2,TELOS CORPORATION,,SMALL BUSINESS,2010,telos,41850,67%,33%,,,2010,"$9,000 ","$1,000 ","$12,500 ","$4,500 ",$0 ,$0 ,"$13,500 ",71218,D000029369,TELOS CORP,telos
379,TEXTRONINC,10185017381,11448073693,635,5856.924916,1805943162,2,TEXTRON INC.,,OTHER THAN SMALL BUSINESS,2010,textron,2064,37%,63%,,,2010,"$300,400 ","$85,297 ","$721,500 ","$511,397 ",$250 ,$0 ,"$812,047 ",2265,D000000201,TEXTRON INC,textron
380,THEBOEINGCOMPANY,1.48395E+12,2.33446E+12,5858,94870.29431,31120135878,2,THE BOEING COMPANY,,OTHER THAN SMALL BUSINESS,2010,boeing,721,55%,44%,,,2010,"$1,894,740 ","$617,587 ","$2,806,000 ","$1,521,032 ","$2,250 ",$0 ,"$3,436,262 ",821,D000000100,BOEING CO,boeing
381,THECLOROXCOMPANY,93488453.99,93488453.99,33,3420,2160000000,2,THE CLOROX COMPANY,,OTHER THAN SMALL BUSINESS,2010,clorox,25714,60%,40%,,,2010,"$19,270 ","$15,264 ","$17,000 ","$12,994 ",$0 ,$0 ,"$32,264 ",50592,D000024879,CLOROX CO,clorox
382,THECOCACOLACOMPANY,91883888.93,114043910.9,85,10577.19743,3165698753,2,THE COCA-COLA COMPANY,,OTHER THAN SMALL BUSINESS,2010,cocacola,2201,47%,52%,,,2010,"$389,686 ","$128,336 ","$696,750 ","$433,400 ",$0 ,"$5,000 ","$830,286 ",2413,D000000212,COCA-COLA CO,cocacola
383,THEDAYZIMMERMANNGROUPINC,52322152.69,78422152.69,136,3034.965278,307149688.9,2,THE DAY & ZIMMERMANN GROUP INC,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2010,day zimmermann,26930,50%,50%,,,2010,"$110,018 ","$17,018 ","$203,100 ","$110,100 ",$0 ,$0 ,"$220,518 ",52215,D000025286,DAY & ZIMMERMANN,day zimmermann
384,THEINTERPUBLICGROUPOFCOMPANIESINC,18772011.74,819720490.7,73,6393.333333,918750030.7,2,THE INTERPUBLIC GROUP OF COMPANIES INC,,OTHER THAN SMALL BUSINESS,2010,interpublic,13053,74%,25%,,,2010,"$915,830 ","$1,152,614 ","$83,078 ","$314,608 ",$750 ,$0 ,"$1,236,442 ",34949,D000021897,INTERPUBLIC GROUP,interpublic
385,THEMANITOWOCCOMPANYINC,8171563.4,13727533.4,4,5000,2300000000,1,THE MANITOWOC COMPANY INC,OTHER,OTHER THAN SMALL BUSINESS,2010,manitowoc,33638,78%,22%,,,2010,"$36,150 ","$6,600 ","$39,750 ","$10,200 ",$0 ,$0 ,"$46,350 ",61004,D000027367,MANITOWOC CO,manitowoc
386,THEPARSONSCORPORATION,1143987280,1149827102,4777,5016.798613,453113665.4,2,THE PARSONS CORPORATION,,OTHER THAN SMALL BUSINESS,2010,parsons,16005,63%,37%,,,2010,"$362,325 ","$5,125 ","$570,800 ","$210,100 ",$0 ,$0 ,"$576,150 ",38179,D000022175,PARSONS CORP,parsons
387,THEPROCTERGAMBLECOMPANY,610509899.9,610509899.9,12,55000,38000001024,2,THE PROCTER & GAMBLE COMPANY,,OTHER THAN SMALL BUSINESS,2010,procter gamble,5326,43%,57%,,,2010,"$253,646 ","$211,661 ","$380,250 ","$336,115 ",$250 ,$0 ,"$593,061 ",5811,D000000485,PROCTER & GAMBLE,procter gamble
388,THERMOFISHERSCIENTIFICINC,21014152.45,25161298.44,407,11275.29533,2839262162,2,THERMO FISHER SCIENTIFIC INC.,,SMALL BUSINESS,2010,thermo fisher scientific,20055,61%,39%,,,2010,"$133,300 ","$53,775 ","$165,650 ","$86,125 ",$250 ,$0 ,"$219,840 ",43716,D000023662,THERMO FISHER SCIENTIFIC,thermo fisher scientific
389,THESCHWANFOODCOMPANY,37628310.74,37628310.74,12,23000,900000000,2,THE SCHWAN FOOD COMPANY,,OTHER THAN SMALL BUSINESS,2010,schwan food,40064,19%,79%,,,2010,"$10,500 ","$6,950 ","$49,000 ","$44,450 ",$0 ,$0 ,"$55,950 ",69007,D000028944,SCHWAN FOOD,schwan food
390,THESHAWGROUPINC,462623348.2,586313717.3,5200,10176.44061,1601979897,2,THE SHAW GROUP INC,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2010,shaw,16759,63%,36%,,,2010,"$278,344 ","$159,820 ","$282,900 ","$159,876 ",$500 ,$0 ,"$443,620 ",39005,D000022247,SHAW GROUP,shaw
391,THESOUTHERNCOMPANY,48117815.59,48117815.59,16,6900.441667,3436077261,2,THE SOUTHERN COMPANY,,OTHER THAN SMALL BUSINESS,2010,southern,1650,40%,58%,,,2010,"$477,436 ","$162,799 ","$1,029,000 ","$692,813 ","$1,005 ",$0 ,"$1,193,704 ",1818,D000000168,SOUTHERN CO,southern
392,THETIMKENCOMPANY,169760.02,169760.02,5,13875,2751625000,2,THE TIMKEN COMPANY,,OTHER THAN SMALL BUSINESS,2010,timken,4579,2%,99%,,,2010,"$3,000 ","$98,300 ","$106,500 ","$201,800 ",$0 ,$0 ,"$204,800 ",5005,D000000426,TIMKEN CO,timken
394,TIDEWATERINC,1817537.32,1817537.32,2025,85.77777778,6661111.111,1,TIDEWATER  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2010,tidewater,42192,28%,72%,,,2010,"$9,400 ","$6,850 ","$27,000 ","$24,450 ",$0 ,$0 ,"$33,850 ",71637,D000029446,TIDEWATER INC,tidewater
395,TORCHTECHNOLOGIESINC,713250302.5,713250302.5,1185,99.53571429,4371775.163,2,TORCH TECHNOLOGIES  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2010,torch technologies,42264,2%,98%,,,2010,"$1,000 ","$23,450 ","$20,800 ","$43,250 ",$0 ,$0 ,"$44,250 ",71752,D000029489,TORCH TECHNOLOGIES,torch technologies
396,TOSHIBACORPORATION,2127813.88,2127813.88,4485,435364.5833,49103470843,2,TOSHIBA CORPORATION,,OTHER THAN SMALL BUSINESS,2010,toshiba,48144,48%,51%,,,2010,"$26,310 ","$16,760 ","$37,000 ","$28,050 ",$0 ,$0 ,"$54,560 ",78622,D000030479,TOSHIBA CORP,toshiba
397,TRANSYSTEMSCORPORATION,3429117.69,3429117.69,62,765.375,107150000,2,TRANSYSTEMS CORPORATION,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2010,transystems,42310,62%,38%,,,2010,"$9,925 ","$6,425 ","$9,500 ","$6,000 ",$0 ,$0 ,"$15,925 ",71810,D000029501,TRANSYSTEMS CORP,transystems
398,TRIUMPHGROUPINC,7785988.96,7785988.96,28,1822.222222,333050000,2,"TRIUMPH GROUP, INC.",,OTHER THAN SMALL BUSINESS,2010,triumph,75803,43%,57%,,,2010,"$71,500 ","$5,950 ","$161,000 ","$95,450 ",$0 ,$0 ,"$166,950 ",93005,D000063783,TRIUMPH GROUP,triumph
399,TRIWESTHEALTHCAREALLIANCECORP,310759.34,310759.34,3,1200,2000000000,1,TRIWEST HEALTHCARE ALLIANCE CORP.,,OTHER THAN SMALL BUSINESS,2010,triwest healthcare alliance,48659,58%,37%,,,2010,"$71,600 ","$94,850 ","$27,650 ","$45,100 ",$0 ,$0 ,"$122,500 ",79206,D000030548,TRIWEST HEALTHCARE ALLIANCE,triwest healthcare alliance
