,recipient_parent_name1,current_award,potential_award,offers_received,num_employees,annual_revenue,award_count,recipient_name,organizational_type,business_size,year,recipient_name_clean,% to Dems,% to Repubs,Cycle,Democrats,Individuals,PACs,Republicans,Soft (Indivs),Soft (Orgs),Total,org_id,org_name,org_name_clean
368,TELECOMMUNICATIONSYSTEMSINC,1456448.44,1456448.44,4,520.25,93283750,2,TELECOMMUNICATION SYSTEMS  INC.,,SMALL BUSINESS,2010,telecommunication systems,95%,6%,2010,"$86,700 ","$85,950 ","$5,800 ","$5,050 ",$0,$0,"$91,750 ",D000057481,TELECOMMUNICATION SYSTEMS INC,telecommunication systems
369,TELEDYNETECHNOLOGIESINC,1805219931,1805219931,940,5926.192676,1232004748,2,TELEDYNE TECHNOLOGIES INC,,OTHER THAN SMALL BUSINESS,2010,teledyne technologies,65%,35%,2010,"$65,950 ","$58,700 ","$43,000 ","$35,750 ",$0,$0,"$101,900 ",D000029367,TELEDYNE TECHNOLOGIES,teledyne technologies
370,TELOSCORPORATION,536489201.4,545402105.4,199,54.47863998,11711159.25,2,TELOS CORPORATION,,SMALL BUSINESS,2010,telos,67%,33%,2010,"$9,000 ","$1,000 ","$12,500 ","$4,500 ",$0,$0,"$13,500 ",D000029369,TELOS CORP,telos
371,TEXTRONINC,10185017381,11448073693,635,5856.924916,1805943162,2,TEXTRON INC.,,OTHER THAN SMALL BUSINESS,2010,textron,37%,63%,2010,"$300,400 ","$85,297 ","$721,500 ","$511,397 ",$250,$0,"$812,047 ",D000000201,TEXTRON INC,textron
372,THEBOEINGCOMPANY,1.48395E+12,2.33446E+12,5858,94870.29431,31120135878,2,THE BOEING COMPANY,,OTHER THAN SMALL BUSINESS,2010,boeing,55%,44%,2010,"$1,894,740 ","$617,587 ","$2,806,000 ","$1,521,032 ","$2,250 ",$0,"$3,436,262 ",D000000100,BOEING CO,boeing
373,THECLOROXCOMPANY,93488453.99,93488453.99,33,3420,2160000000,2,THE CLOROX COMPANY,,OTHER THAN SMALL BUSINESS,2010,clorox,60%,40%,2010,"$19,270 ","$15,264 ","$17,000 ","$12,994 ",$0,$0,"$32,264 ",D000024879,CLOROX CO,clorox
374,THECOCACOLACOMPANY,91883888.93,114043910.9,85,10577.19743,3165698753,2,THE COCA-COLA COMPANY,,OTHER THAN SMALL BUSINESS,2010,cocacola,47%,52%,2010,"$389,686 ","$128,336 ","$696,750 ","$433,400 ",$0,"$5,000 ","$830,286 ",D000000212,COCA-COLA CO,cocacola
375,THEDAYZIMMERMANNGROUPINC,52322152.69,78422152.69,136,3034.965278,307149688.9,2,THE DAY & ZIMMERMANN GROUP INC,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2010,day zimmermann,50%,50%,2010,"$110,018 ","$17,018 ","$203,100 ","$110,100 ",$0,$0,"$220,518 ",D000025286,DAY & ZIMMERMANN,day zimmermann
376,THEINTERPUBLICGROUPOFCOMPANIESINC,18772011.74,819720490.7,73,6393.333333,918750030.7,2,THE INTERPUBLIC GROUP OF COMPANIES INC,,OTHER THAN SMALL BUSINESS,2010,interpublic,74%,25%,2010,"$915,830 ","$1,152,614 ","$83,078 ","$314,608 ",$750,$0,"$1,236,442 ",D000021897,INTERPUBLIC GROUP,interpublic
377,THEMANITOWOCCOMPANYINC,8171563.4,13727533.4,4,5000,2300000000,1,THE MANITOWOC COMPANY INC,OTHER,OTHER THAN SMALL BUSINESS,2010,manitowoc,78%,22%,2010,"$36,150 ","$6,600 ","$39,750 ","$10,200 ",$0,$0,"$46,350 ",D000027367,MANITOWOC CO,manitowoc
378,THEPARSONSCORPORATION,1143987280,1149827102,4777,5016.798613,453113665.4,2,THE PARSONS CORPORATION,,OTHER THAN SMALL BUSINESS,2010,parsons,63%,37%,2010,"$362,325 ","$5,125 ","$570,800 ","$210,100 ",$0,$0,"$576,150 ",D000022175,PARSONS CORP,parsons
379,THEPROCTERGAMBLECOMPANY,610509899.9,610509899.9,12,55000,38000001024,2,THE PROCTER & GAMBLE COMPANY,,OTHER THAN SMALL BUSINESS,2010,procter gamble,43%,57%,2010,"$253,646 ","$211,661 ","$380,250 ","$336,115 ",$250,$0,"$593,061 ",D000000485,PROCTER & GAMBLE,procter gamble
380,THERMOFISHERSCIENTIFICINC,21014152.45,25161298.44,407,11275.29533,2839262162,2,THERMO FISHER SCIENTIFIC INC.,,SMALL BUSINESS,2010,thermo fisher scientific,61%,39%,2010,"$133,300 ","$53,775 ","$165,650 ","$86,125 ",$250,$0,"$219,840 ",D000023662,THERMO FISHER SCIENTIFIC,thermo fisher scientific
381,THESCHWANFOODCOMPANY,37628310.74,37628310.74,12,23000,900000000,2,THE SCHWAN FOOD COMPANY,,OTHER THAN SMALL BUSINESS,2010,schwan food,19%,79%,2010,"$10,500 ","$6,950 ","$49,000 ","$44,450 ",$0,$0,"$55,950 ",D000028944,SCHWAN FOOD,schwan food
382,THESHAWGROUPINC,462623348.2,586313717.3,5200,10176.44061,1601979897,2,THE SHAW GROUP INC,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2010,shaw,63%,36%,2010,"$278,344 ","$159,820 ","$282,900 ","$159,876 ",$500,$0,"$443,620 ",D000022247,SHAW GROUP,shaw
383,THESOUTHERNCOMPANY,48117815.59,48117815.59,16,6900.441667,3436077261,2,THE SOUTHERN COMPANY,,OTHER THAN SMALL BUSINESS,2010,southern,40%,58%,2010,"$477,436 ","$162,799 ","$1,029,000 ","$692,813 ","$1,005 ",$0,"$1,193,704 ",D000000168,SOUTHERN CO,southern
384,THETIMKENCOMPANY,169760.02,169760.02,5,13875,2751625000,2,THE TIMKEN COMPANY,,OTHER THAN SMALL BUSINESS,2010,timken,2%,99%,2010,"$3,000 ","$98,300 ","$106,500 ","$201,800 ",$0,$0,"$204,800 ",D000000426,TIMKEN CO,timken
385,TIDEWATERINC,1817537.32,1817537.32,2025,85.77777778,6661111.111,1,TIDEWATER  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2010,tidewater,28%,72%,2010,"$9,400 ","$6,850 ","$27,000 ","$24,450 ",$0,$0,"$33,850 ",D000029446,TIDEWATER INC,tidewater
386,TORCHTECHNOLOGIESINC,713250302.5,713250302.5,1185,99.53571429,4371775.163,2,TORCH TECHNOLOGIES  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2010,torch technologies,2%,98%,2010,"$1,000 ","$23,450 ","$20,800 ","$43,250 ",$0,$0,"$44,250 ",D000029489,TORCH TECHNOLOGIES,torch technologies
387,TOSHIBACORPORATION,2127813.88,2127813.88,4485,435364.5833,49103470843,2,TOSHIBA CORPORATION,,OTHER THAN SMALL BUSINESS,2010,toshiba,48%,51%,2010,"$26,310 ","$16,760 ","$37,000 ","$28,050 ",$0,$0,"$54,560 ",D000030479,TOSHIBA CORP,toshiba
388,TRANSYSTEMSCORPORATION,3429117.69,3429117.69,62,765.375,107150000,2,TRANSYSTEMS CORPORATION,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2010,transystems,62%,38%,2010,"$9,925 ","$6,425 ","$9,500 ","$6,000 ",$0,$0,"$15,925 ",D000029501,TRANSYSTEMS CORP,transystems
389,TRIUMPHGROUPINC,7785988.96,7785988.96,28,1822.222222,333050000,2,"TRIUMPH GROUP, INC.",,OTHER THAN SMALL BUSINESS,2010,triumph,43%,57%,2010,"$71,500 ","$5,950 ","$161,000 ","$95,450 ",$0,$0,"$166,950 ",D000063783,TRIUMPH GROUP,triumph
390,TRIWESTHEALTHCAREALLIANCECORP,310759.34,310759.34,3,1200,2000000000,1,TRIWEST HEALTHCARE ALLIANCE CORP.,,OTHER THAN SMALL BUSINESS,2010,triwest healthcare alliance,58%,37%,2010,"$71,600 ","$94,850 ","$27,650 ","$45,100 ",$0,$0,"$122,500 ",D000030548,TRIWEST HEALTHCARE ALLIANCE,triwest healthcare alliance
391,TYSONFOODSINC,804279607.1,804279607.1,633,71157.13845,7656727918,2,TYSON FOODS  INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2010,tyson foods,47%,54%,2010,"$137,411 ","$107,390 ","$187,960 ","$157,939 ",$0,$0,"$295,350 ",D000000460,TYSON FOODS,tyson foods
392,ULTRAELECTRONICSHOLDINGSPLC,76838252.86,77615887.66,96,845.9261072,210546488.9,2,ULTRA ELECTRONICS HOLDINGS PLC,,OTHER THAN SMALL BUSINESS,2010,ultra electronics,58%,41%,2010,"$48,300 ","$37,350 ","$45,950 ","$34,500 ",$0,$0,"$83,300 ",D000063821,ULTRA ELECTRONICS,ultra electronics
393,UNISYSCORPORATION,4758160436,7613465454,964,18394.58456,4086547647,2,UNISYS CORPORATION,,OTHER THAN SMALL BUSINESS,2010,unisys,53%,46%,2010,"$91,529 ","$20,675 ","$151,304 ","$79,100 ",$0,$0,"$171,979 ",D000022291,UNISYS CORP,unisys
394,UNITEDPARCELSERVICEINC,14417377.15,14706243.15,1096,100412.6548,2978371327,2,UNITED PARCEL SERVICE  INC.,,OTHER THAN SMALL BUSINESS,2010,united parcel service,42%,58%,2010,"$1,216,755 ","$103,736 ","$2,809,399 ","$1,679,630 ",$775,$0,"$2,914,532 ",D000000081,UNITED PARCEL SERVICE,united parcel service
395,UNITEDTECHNOLOGIESCORPORATION,3790367902,6697089282,8942,1239778.173,24486497905,2,UNITED TECHNOLOGIES CORPORATION,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2010,united technologies,58%,42%,2010,"$850,409 ","$174,513 ","$1,287,500 ","$607,354 ",$700,$0,"$1,464,487 ",D000000209,UNITED TECHNOLOGIES,united technologies
396,URSCORPORATION,1.36405E+11,4.3535E+11,20593,32218.52009,3680784670,2,URS CORPORATION,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2010,urs,11%,86%,2010,"$6,450 ","$90,701 ","($30,500)","$51,951 ",$0,$0,"$60,201 ",D000023660,URS CORP,urs
397,USBANCORP,1144.13,1144.13,2,50000,968000000,1,U.S. BANCORP,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2010,us bancorp,29%,71%,2010,"$152,159 ","$150,130 ","$374,039 ","$371,010 ",$0,$0,"$524,369 ",D000000487,US BANCORP,us bancorp
398,VARIANMEDICALSYSTEMSINC,137400,137400,2,3800,1200000000,1,VARIAN MEDICAL SYSTEMS  INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2010,varian medical systems,78%,22%,2010,"$33,050 ","$22,550 ","$20,000 ","$9,500 ",$0,$0,"$42,550 ",D000029636,VARIAN MEDICAL SYSTEMS,varian medical systems
399,VERIZONCOMMUNICATIONSINC,1383270182,3.6235E+11,14168,36051.06286,21870249188,2,VERIZON COMMUNICATIONS INC.,,OTHER THAN SMALL BUSINESS,2010,verizon communications,50%,49%,2010,"$1,173,841 ","$479,768 ","$1,845,700 ","$1,134,749 ","$1,750 ","$2,500 ","$2,334,443 ",D000000079,VERIZON COMMUNICATIONS,verizon communications
400,VERSARINC,447443389.7,447443389.7,4354,121.9871032,16392058.62,2,VERSAR  INC.,,OTHER THAN SMALL BUSINESS,2010,versar,71%,29%,2010,"$2,500 ","$1,500 ","$2,000 ","$1,000 ",$0,$0,"$3,500 ",D000029654,VERSAR INC,versar
401,WASTEMANAGEMENTINC,7897413.65,8440417.63,84,21446.33185,5302170265,2,WASTE MANAGEMENT  INC,,OTHER THAN SMALL BUSINESS,2010,waste management,43%,54%,2010,"$102,600 ","$40,450 ","$190,700 ","$128,325 ",$0,$0,"$236,445 ",D000000161,WASTE MANAGEMENT INC,waste management
402,WESTONSOLUTIONSHOLDINGSINC,625392906,628604186,2159,1575.862057,359231922.8,2,"WESTON SOLUTIONS HOLDINGS, INC.",,OTHER THAN SMALL BUSINESS,2010,weston solutions,62%,38%,2010,"$76,350 ","$3,850 ","$119,560 ","$47,060 ",$500,$0,"$123,910 ",D000029835,WESTON SOLUTIONS,weston solutions
403,WILLIAMSINTERNATIONALCOLLC,1120697.6,1120697.6,150,1063,250000000,1,WILLIAMS INTERNATIONAL CO LLC,OTHER,OTHER THAN SMALL BUSINESS,2010,williams,28%,71%,2010,"$148,550 ","$53,350 ","$481,000 ","$379,800 ",$0,$0,"$534,390 ",D000000480,WILLIAMS COMPANIES,williams
404,WOOLPERTINC,1980713.7,1980713.7,79,675,85250000,2,"WOOLPERT, INC.",,OTHER THAN SMALL BUSINESS,2010,woolpert,50%,49%,2010,"$24,150 ","$43,400 ","$5,000 ","$23,750 ",$0,$0,"$48,400 ",D000031142,WOOLPERT INC,woolpert
405,WPPPLC,283373551,283980651,9135,4903.540807,455682587.5,2,WPP PLC,,OTHER THAN SMALL BUSINESS,2010,wpp,49%,49%,2010,"$1,043,270 ","$1,921,918 ","$194,000 ","$1,046,198 ",$250,$0,"$2,123,848 ",D000000662,WPP GROUP,wpp
406,XCELENERGYINC,109368,109368,5,17,15250000,1,XCEL ENERGY INC.,,OTHER THAN SMALL BUSINESS,2010,xcel energy,49%,49%,2010,"$210,225 ","$87,461 ","$341,675 ","$210,911 ",$0,$0,"$429,386 ",D000022329,XCEL ENERGY,xcel energy
407,XEROXCORPORATION,20325275.95,20558471.77,2286,23525.82729,1.85126E+11,2,XEROX CORPORATION,,OTHER THAN SMALL BUSINESS,2010,xerox,60%,39%,2010,"$30,631 ","$24,351 ","$26,500 ","$20,245 ",$0,$0,"$51,376 ",D000000607,XEROX CORP,xerox
408,3MCOMPANY,24208501.03,1349530643,173555,38182.22295,4.4339E+11,2,3M COMPANY,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2012,3m,23%,76%,2012,"$119,880 ","$189,663 ","$316,500 ","$388,783 ","$2,350 ","$2,500 ","$512,413 ",D000021800,3M CO,3m
409,3TINTERNATIONALINC,7508670.72,7508670.72,3,26.25,5575000,1,3T INTERNATIONAL INC,,OTHER THAN SMALL BUSINESS,2012,3t,100%,0%,2012,"$33,000 ",$0,"$33,000 ",$0,$0,$0,"$33,000 ",D000023696,3T PAC,3t
410,ABBLTD,208998.44,518725.53,14,80822.29167,45475466859,2,ABB LTD,,OTHER THAN SMALL BUSINESS,2012,abb,53%,47%,2012,"$5,050 ","$4,000 ","$5,500 ","$4,450 ",$0,$0,"$9,500 ",D000023729,ABB GROUP,abb
411,ABBOTTLABORATORIES,68163928.83,124993692.1,5502,70999.52055,59366096266,2,ABBOTT LABORATORIES,,OTHER THAN SMALL BUSINESS,2012,abbott laboratories,37%,61%,2012,"$659,222 ","$364,358 ","$1,389,750 ","$1,094,886 ","$53,200 ",$0,"$1,808,508 ",D000000383,ABBOTT LABORATORIES,abbott laboratories
412,AFOGNAKNATIVECORPORATION,516487071.3,1389543781,5994,501.8417958,25598237.08,2,AFOGNAK NATIVE CORPORATION,,OTHER THAN SMALL BUSINESS,2012,afognak native,44%,57%,2012,"$6,000 ","$2,300 ","$11,500 ","$7,800 ",$0,$0,"$13,800 ",D000023779,AFOGNAK NATIVE CORP,afognak native
413,ALLEGHENYENERGYINC,20325495.25,24429875.25,10,3538.171429,1427857938,1,ALLEGHENY ENERGY  INC.,,OTHER THAN SMALL BUSINESS,2012,allegheny energy,3%,97%,2012,"$3,000 ","$49,050 ","$40,000 ","$86,050 ",$0,$0,"$89,050 ",D000023850,ALLEGHENY ENERGY,allegheny energy
414,ALLIANTTECHSYSTEMSINC,1.3657E+11,1.37648E+11,402,11932.07285,2865748756,2,ALLIANT TECHSYSTEMS INC.,,OTHER THAN SMALL BUSINESS,2012,alliant techsystems,29%,71%,2012,"$128,775 ","$38,628 ","$399,959 ","$310,812 ","$1,500 ",$0,"$441,087 ",D000021814,ALLIANT TECHSYSTEMS,alliant techsystems
415,ALTEGRITYINC,251253077.6,2029027126,190,2371.549064,1378918832,2,"ALTEGRITY, INC.",,OTHER THAN SMALL BUSINESS,2012,altegrity,43%,57%,2012,"$35,578 ","$8,328 ","$73,576 ","$46,326 ",$0,$0,"$81,904 ",D000064404,ALTEGRITY INC,altegrity
416,AMERICANAPPARELINC,8326648,8326648,1,1281,78291000,1,AMERICAN APPAREL  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2012,american apparel,29%,71%,2012,"$3,500 ",$0,"$12,000 ","$8,500 ",$0,$0,"$12,000 ",D000071072,AMERICAN APPAREL INC,american apparel
417,AMERICANHOSPITALASSOCIATIONINC,12166444.29,12166444.29,230,117.1428571,33027812.71,1,AMERICAN HOSPITAL ASSOCIATION INC,,OTHER THAN SMALL BUSINESS,2012,american hospital,54%,46%,2012,"$1,176,153 ","$162,627 ","$2,024,919 ","$1,004,393 ",$400,$0,"$2,195,242 ",D000000116,AMERICAN HOSPITAL ASSN,american hospital
418,AMERICANMARITIMEHOLDINGSINC,43963887.74,43963887.74,80,339.0206349,58723511.85,2,AMERICAN MARITIME HOLDINGS  INC.,,SMALL BUSINESS,2012,american maritime,0%,100%,2012,$0,"$3,450 ","$6,500 ","$9,950 ",$0,$0,"$9,950 ",D000045933,AMERICAN MARITIME HOLDINGS,american maritime
419,AMERICANPHARMACISTSASSOCIATION,16745719.18,16745719.18,4,100,32840821,1,AMERICAN PHARMACISTS ASSOCIATION,CORPORATE TAX EXEMPT,OTHER THAN SMALL BUSINESS,2012,american pharmacists,47%,53%,2012,"$46,000 ",$500,"$97,000 ","$51,500 ",$0,$0,"$97,500 ",D000023992,AMERICAN PHARMACISTS ASSN,american pharmacists
420,AMERICANSYSTEMSCORPORATION,5203699.93,5105203700,1361,897.2589286,162286155,2,AMERICAN SYSTEMS CORPORATION,OTHER,OTHER THAN SMALL BUSINESS,2012,american systems,48%,52%,2012,"$12,500 ","$7,022 ","$19,000 ","$13,522 ",$0,$0,"$26,022 ",D000024025,AMERICAN SYSTEMS CORP,american systems
421,AMERISOURCEBERGENCORPORATION,363502980.3,363905362.4,77938,12.52183228,9343470.305,2,AMERISOURCEBERGEN CORPORATION,,OTHER THAN SMALL BUSINESS,2012,amerisourcebergen,38%,62%,2012,"$285,667 ","$67,729 ","$686,899 ","$468,961 ",$0,$0,"$754,628 ",D000021841,AMERISOURCEBERGEN CORP,amerisourcebergen
422,ANALYTICALGRAPHICSINC,48802,48802,1,0,0,1,ANALYTICAL GRAPHICS  INC.,,OTHER THAN SMALL BUSINESS,2012,analytical graphics,46%,54%,2012,"$6,850 ",$750,"$14,100 ","$8,000 ",$0,$0,"$14,850 ",D000024070,ANALYTICAL GRAPHICS INC,analytical graphics
423,ARAMARKHOLDINGSCORPORATION,412577.77,472042.77,47,101919.7014,3189704507,2,ARAMARK HOLDINGS CORPORATION,,OTHER THAN SMALL BUSINESS,2012,aramark,64%,34%,2012,"$26,631 ","$42,426 ","($1,000)","$14,400 ",$500,$0,"$41,926 ",D000024107,ARAMARK CORP,aramark
424,ARCADISNV,73499625.81,79528669.81,10489,1166.231786,198234514.3,2,ARCADIS N.V.,,OTHER THAN SMALL BUSINESS,2012,arcadis nv,53%,47%,2012,"$139,400 ","$18,900 ","$244,500 ","$124,000 ",$0,$0,"$263,400 ",D000066743,ARCADIS NV,arcadis nv
425,ASSOCIATIONOFAMERICANRAILROADS,4950389.21,4955449.21,9,451.7333333,136168776.1,1,ASSOCIATION OF AMERICAN RAILROADS,,SMALL BUSINESS,2012,american railroads,43%,57%,2012,"$97,145 ","$22,895 ","$202,500 ","$128,250 ",$250,$0,"$225,645 ",D000000735,ASSOCIATION OF AMERICAN RAILROADS,american railroads
426,ASTRAZENECAPLC,28761725,94312851.5,44,2980.555556,1050000001,1,ASTRAZENECA PLC,,OTHER THAN SMALL BUSINESS,2012,astrazeneca,45%,54%,2012,"$608,333 ","$186,985 ","$1,143,452 ","$718,104 ","$7,000 ",$0,"$1,338,586 ",D000043112,ASTRAZENECA PLC,astrazeneca
427,ATLASAIRWORLDWIDEHOLDINGSINC,6721026.47,7226680.05,44,1619.45,1344359053,1,"ATLAS AIR WORLDWIDE HOLDINGS, INC.",,OTHER THAN SMALL BUSINESS,2012,atlas air worldwide,24%,75%,2012,"$81,250 ","$99,000 ","$245,000 ","$259,750 ",$0,$0,"$346,000 ",D000045889,ATLAS AIR WORLDWIDE,atlas air worldwide
428,ATLASGROUPLTD,10506378.83,29195835.98,30,9,1700000,1,ATLAS GROUP LTD,OTHER,SMALL BUSINESS,2012,atlas,0%,100%,2012,$0,$0,"$1,416 ","$1,416 ",$0,$0,"$1,416 ",D000024192,ATLAS PAC,atlas
429,ATMOSENERGYCORPORATION,3041930,4645000,2,4700,6000000000,1,ATMOS ENERGY CORPORATION,,OTHER THAN SMALL BUSINESS,2012,atmos energy,16%,84%,2012,"$20,000 ","$9,850 ","$118,200 ","$108,050 ",$0,$0,"$128,050 ",D000024193,ATMOS ENERGY,atmos energy
430,ATTINC,3600353885,4682866381,43733,117515.8298,59968640485,2,AT&T INC.,,OTHER THAN SMALL BUSINESS,2012,att,33%,65%,2012,"$1,651,241 ","$1,447,520 ","$3,480,000 ","$3,311,979 ","$8,820 ","$25,500 ","$5,081,080 ",D000000076,AT&T INC,att
431,AXA,76609596.28,76609596.28,20,75,50000000,2,AXA,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2012,axa,43%,57%,2012,"$218,683 ","$350,893 ","$158,000 ","$290,210 ",$0,$0,"$509,885 ",D000021855,AXA,axa
432,BAESYSTEMSHOLDINGSINC,56912804830,1.46296E+11,43622,107081.0556,6114100549,4,BAE SYSTEMS HOLDINGS INC.,,OTHER THAN SMALL BUSINESS,2012,bae systems,45%,55%,2012,"$648,529 ","$339,396 ","$1,102,500 ","$793,387 ",$250,$0,"$1,442,466 ",D000000583,BAE SYSTEMS,bae systems
433,BALFOURBEATTYPLC,638775309.6,1157775310,8614,3647.55638,1147611787,2,BALFOUR BEATTY PLC,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2012,balfour beatty,60%,39%,2012,"$156,015 ","$89,610 ","$167,500 ","$100,345 ","$2,500 ",$0,"$260,110 ",D000064461,BALFOUR BEATTY,balfour beatty
434,BALLCORPORATION,1550565649,2355640609,547,2469.13739,530731586.1,2,BALL CORPORATION,,OTHER THAN SMALL BUSINESS,2012,ball,40%,60%,2012,"$72,975 ","$43,460 ","$140,000 ","$110,485 ",$0,$0,"$183,460 ",D000024239,BALL CORP,ball
435,BAXTERINTERNATIONALINC,453638.04,453638.04,35,46245.6,122012108,1,BAXTER INTERNATIONAL INC.,,OTHER THAN SMALL BUSINESS,2012,baxter,58%,41%,2012,"$201,190 ","$131,190 ","$214,000 ","$143,500 ","$2,000 ",$0,"$347,290 ",D000000643,BAXTER INTERNATIONAL,baxter
436,BAYERAG,25488726.2,74909866.2,40,7467.314815,3509361724,2,BAYER AG,OTHER,OTHER THAN SMALL BUSINESS,2012,bayer ag,34%,66%,2012,"$182,779 ","$69,077 ","$470,000 ","$355,298 ",$0,$0,"$540,403 ",D000042363,BAYER AG,bayer ag
437,BECHTELGROUPINC,401489631.2,408262257.2,487,34819.20907,25099409985,2,BECHTEL GROUP  INC.,,OTHER THAN SMALL BUSINESS,2012,bechtel,40%,57%,2012,"$356,900 ","$233,745 ","$634,000 ","$510,095 ","$25,000 ",$0,"$892,745 ",D000000237,BECHTEL GROUP,bechtel
438,BERKSHIREHATHAWAYINC,904749823.8,1403305625,515,79033.93038,4710941537,2,BERKSHIRE HATHAWAY INC.,,OTHER THAN SMALL BUSINESS,2012,berkshire hathaway,27%,57%,2012,"$1,159,786 ","$1,291,641 ","$2,361,900 ","$2,498,310 ","$703,745 ","$5,000 ","$4,363,181 ",D000021757,BERKSHIRE HATHAWAY,berkshire hathaway
439,BOSTONSCIENTIFICCORPORATION,631444.16,631444.16,31,170594.4444,6.00605E+11,2,BOSTON SCIENTIFIC CORPORATION,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2012,boston scientific,24%,76%,2012,"$133,252 ","$201,205 ","$347,000 ","$413,903 ",$0,$0,"$548,405 ",D000021878,BOSTON SCIENTIFIC CORP,boston scientific
440,BPPLC,7896036.89,296799542,929,94178.50877,2.78826E+11,1,BP P.L.C.,,OTHER THAN SMALL BUSINESS,2012,bp,41%,58%,2012,"$179,009 ","$217,662 ","$212,000 ","$250,653 ","$2,025 ",$0,"$431,922 ",D000000091,BP,bp
441,BRUNSWICKCORPORATION,19267925.02,19361375.82,6076,7936.809404,1131867023,2,BRUNSWICK CORPORATION,,OTHER THAN SMALL BUSINESS,2012,brunswick,25%,76%,2012,"$17,634 ","$14,464 ","$57,500 ","$54,330 ",$0,$0,"$71,964 ",D000024496,BRUNSWICK CORP,brunswick
442,BURNSMCDONNELLINC,274645486.7,5267096.86,430,2548.53497,780784672.6,2,"BURNS & MCDONNELL, INC.",,OTHER THAN SMALL BUSINESS,2012,burns mcdonnell,38%,62%,2012,"$82,500 ","$33,455 ","$183,000 ","$133,955 ",$0,$0,"$216,455 ",D000024518,BURNS & MCDONNELL,burns mcdonnell
443,BUTTERBALLLLC,43493906.48,43493906.48,47,5662.97619,1155535714,2,BUTTERBALL  LLC,,OTHER THAN SMALL BUSINESS,2012,butterball,10%,91%,2012,"$1,000 ",$0,"$10,500 ","$9,500 ",$0,$0,"$10,500 ",D000024529,BUTTERBALL LLC,butterball
444,CAMPBELLSOUPCOMPANY,164963886.2,164963886.2,50,7633.636364,805817121.2,2,CAMPBELL SOUP COMPANY,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2012,campbell soup,28%,72%,2012,"$16,612 ","$12,673 ","$47,184 ","$43,245 ",$0,$0,"$60,357 ",D000024598,CAMPBELL SOUP,campbell soup
445,CARDINALHEALTHINC,755159631.1,2280454305,168513,7499.181554,5579086040,2,CARDINAL HEALTH  INC.,OTHER,OTHER THAN SMALL BUSINESS,2012,cardinal health,41%,59%,2012,"$232,052 ","$194,529 ","$372,500 ","$334,977 ",$0,$0,"$567,029 ",D000021892,CARDINAL HEALTH,cardinal health
446,CATERPILLARINC,370677252,374159884.8,30097,95474.82539,14027416241,2,CATERPILLAR INC.,,OTHER THAN SMALL BUSINESS,2012,caterpillar,15%,85%,2012,"$136,705 ","$245,340 ","$678,000 ","$788,635 ","$6,450 ",$0,"$932,425 ",D000000352,CATERPILLAR INC,caterpillar
447,CENTERPOINTENERGYINC,1198723.7,1198723.7,3,0,0,1,CENTERPOINT ENERGY  INC.,,OTHER THAN SMALL BUSINESS,2012,centerpoint energy,14%,86%,2012,"$35,675 ","$66,876 ","$191,009 ","$222,260 ",$455,$0,"$258,590 ",D000024672,CENTERPOINT ENERGY,centerpoint energy
448,CENTURYLINKINC,4481817.52,43481817.52,63,24974.1052,9668515818,2,CENTURYLINK  INC.,,OTHER THAN SMALL BUSINESS,2012,centurylink,44%,56%,2012,"$476,633 ","$215,387 ","$864,307 ","$603,561 ",$750,$0,"$1,085,344 ",D000024683,CENTURYLINK,centurylink
449,CFDRESEARCHCORPORATION,2099627,2099627,478,85,13668000,1,CFD RESEARCH CORPORATION,,SMALL BUSINESS,2012,cfd research,0%,100%,2012,$0,"$1,000 ",$450,"$1,450 ",$0,$0,"$1,450 ",D000024689,CFD RESEARCH CORP,cfd research
450,CFINDUSTRIESHOLDINGSINC,43800,43800,1,2000,2000000000,1,CF INDUSTRIES HOLDINGS  INC.,,OTHER THAN SMALL BUSINESS,2012,cf industries,31%,69%,2012,"$42,422 ","$63,422 ","$72,000 ","$93,000 ",$0,$0,"$135,422 ",D000024688,CF INDUSTRIES,cf industries
